Acanthamoeba castellanii
Aduncisulcus paluster
Amoebophrya ceratii
Anaerocyclidium porcatum
Ancora sagittata
Apolagynus cf. cucumis
Apolagynus sp.
Ascaris suum
Blastocystis sp.
Brevimastigomonas motovehiculus
Carpediemonas membranifera
Cantina marsupialis
Cephaloidophora communis
Chilodonella uncinata
Chilomastix cuspidata
Chlamydomonas reinhardtii
Chromera velia
Cryptosporidium andersoni
Cryptosporidium hominis
Cryptosporidium muris
Cryptosporidium parvum
Dysnectes brevis
Encephalitozoon cuniculi
Entamoeba histolytica
Ergobibamus cyprinoides
Euglena gracilis
Fasciola hepatica
Giardia intestinalis
Gregarina niphandrodes
Heliospora caprellae
Henneguya salminicola
Heterometopus sp. CSS
Holophrya ovum
Homo sapiens
Kipferlia bialata
Kudoa
Lagynus cucumis
Lankesteria metandrocarpae
Lecudina tuzetae
Leishmania tropica
Mastigamoeba balamuthi
Metopus contortus
Metopus laminarius
Mikrocytos mackini
Mitosporidium sp.
Monocercomonoides exilis
Monocystis agilis
Muranothrix gubernata
Myxobolus squamalis
Naegleria gruberi
Nematocida parisii
Neocallimastix frontalis
Neocallimastix sp.
Nyctotherus ovalis
Orpinomyces sp.
Parablepharisma
Paratrimastix pyriformis
Piromyces sp.
Plagiopyla frontata
Plagiopyla cf. narasimhamurtii
Plasmodium falciparum
Polyplicarium translucidae
Polyrhabdina sp.
Psalteriomonas lanterna
Pterospora schizosoma
Pygsuia biforma
Rozella
Saccharomyces cerevisiae
Sawyeria marylandensis
Schizosaccharomyces pombe
Selenidium pygospionis
Selenidium serpulae
Spironucleus salmonicida
Stygiella incarcerata
Toxoplasma gondii
Trepomonas sp.
Trichomonas vaginalis
Trichotokara eunicae
Trimastix marina
Trypanosoma brucei
Viscum album
Vitrella brassicaformis
